Date,Open,High,Low,Close,Volume
1980-03-21,105.23,105.72,101.14,102.31,206311111
1980-03-28,102.18,102.18,94.23,100.68,256433334
1980-04-04,100.68,103.87,100.02,102.15,145833333
1980-04-11,102.15,105.15,99.23,103.79,175277778
1980-04-18,103.79,104.42,99.97,100.55,165677777
1980-04-25,100.55,105.57,98.95,105.16,202755556
1980-05-02,105.16,106.86,104.5,105.58,166566667
1980-05-09,105.58,108.12,104.18,104.72,207122221
1980-05-16,104.72,107.99,103.5,107.35,197055556
1980-05-23,107.35,111.37,106.51,110.62,204922222
1980-05-30,110.62,112.72,108.87,111.24,173566667
1980-06-06,111.24,114.38,109.77,113.2,218155555
1980-06-13,113.2,117.01,112.68,115.81,235366667
1980-06-20,115.81,117.16,113.12,114.06,216611111
1980-06-27,114.06,117.98,113.35,116,218477778
1980-07-04,116,117.8,113.54,117.46,171588889
1980-07-11,117.46,119.52,116.29,117.84,247133334
1980-07-18,117.84,123.19,117.45,122.04,291611112
1980-07-25,122.04,123.9,119.94,120.78,243933333
1980-08-01,120.78,123.93,119.4,121.21,265866667
1980-08-08,121.21,125.23,119.42,123.61,280877779
1980-08-15,123.61,126.61,122.49,125.72,262855556
1980-08-22,125.28,127.78,121.91,126.02,261511111
1980-08-29,126.02,126.29,121.06,122.38,216111110
1980-09-05,122.38,127.7,121.79,124.88,205200000
1980-09-12,124.88,126.75,121.94,125.54,255433332
1980-09-19,125.54,130.38,124.09,129.25,314533334
1980-09-26,129.25,132.17,125.29,126.35,303733333
1980-10-03,125.41,130.44,122.87,129.33,254544445
1980-10-10,129.35,132.88,129.35,130.29,261155556
1980-10-17,130.29,135.88,129.37,131.52,264244444
1980-10-24,131.52,134.01,128.04,129.85,250488889
1980-10-31,129.85,129.94,125.29,127.47,212333334
1980-11-07,127.47,135.65,127.23,129.18,232066666
1980-11-14,129.18,138.96,128.19,137.15,307455555
1980-11-21,137.15,141.76,134.9,139.11,340000000
1980-11-28,139.11,141.96,136.36,140.52,218377777
1980-12-05,140.52,140.66,132.91,134.03,274566668
1980-12-12,133.19,133.19,125.32,129.23,284688888
1980-12-19,129.23,135.9,128.33,133.7,280522222
1980-12-26,133.7,137.48,132.88,136.57,169811111
1981-01-02,136.57,137.51,134.04,136.34,162100001
1981-01-09,136.34,140.32,131.71,133.48,360600006
1981-01-16,133.48,135.91,131.69,134.77,237711111
1981-01-23,134.77,135.86,129,130.23,216122222
1981-01-30,130.23,132.41,128.57,129.55,215177778
1981-02-06,129.48,131.81,125.82,130.6,251866668
1981-02-13,130.6,131.39,126.04,126.98,205533335
1981-02-20,126.98,129.25,124.66,126.58,179866668
1981-02-27,126.58,132.02,125.69,131.27,269744444
1981-03-06,131.27,132.96,128.56,129.85,258911110
1981-03-13,129.85,135.53,128.72,133.11,303455556
1981-03-20,133.11,136.09,132.1,134.08,328911111
1981-03-27,134.08,138.38,133.41,134.65,319888889
1981-04-03,134.65,137.72,133.51,135.49,267344444
1981-04-10,135.49,136.23,132.59,134.51,281533333
1981-04-17,134.51,135.82,131.58,134.7,230222222
1981-04-24,134.7,136.38,132.72,135.14,329066667
1981-05-01,135.14,136.56,131.43,132.72,287733334
1981-05-08,131.78,132.69,128.93,131.66,245533332
1981-05-15,131.66,133.21,128.78,132.17,232099999
1981-05-22,132.17,133.65,130.42,131.33,238477777
1981-05-29,131.33,134.92,130.64,132.59,236188889
1981-06-05,132.59,134.62,128.77,132.22,296577778
1981-06-12,132.22,135.09,130.94,133.49,288555555
1981-06-19,133.49,135.67,130.49,132.27,301588889
1981-06-26,132.27,134.3,131.1,132.56,248266666
1981-07-03,132.56,133.5,127.84,128.64,192955555
1981-07-10,128.64,130.43,126.39,129.37,255122222
1981-07-17,129.37,131.6,128.14,130.76,237855555
1981-07-24,130.6,130.6,125.96,128.46,239655555
1981-07-31,128.46,131.78,128.28,130.92,222688889
1981-08-07,130.92,134.04,129.42,131.75,248711111
1981-08-14,131.75,135.18,130.83,132.49,255177777
1981-08-21,132.49,133.02,128.7,129.23,226044445
1981-08-28,128.59,128.59,122.85,124.08,248055555
1981-09-04,124.08,125.58,119.24,120.07,230588888
